time,x,y,z
15.345,-1.015289,-0.301514,-0.347153
15.446,-0.672455,-0.485275,-0.3134
15.547,-0.931137,-0.02803,-0.402512
15.647,-1.008713,-0.057114,-0.416016
15.748,-0.923172,-0.09816,-0.429504
15.849,-0.88678,0.049622,-0.41658
15.95,-1.043747,-0.023895,-0.442673
16.05,-0.824493,0.010864,-0.36554
16.151,-0.917053,0.07283,-0.366318
16.252,-0.915649,0.000916,-0.394974
16.352,-0.895691,0.07608,-0.38446
16.453,-0.93512,0.07045,-0.399094
16.554,-0.905869,0.077698,-0.404587
16.654,-0.893738,0.050186,-0.410095
16.755,-0.892746,0.033066,-0.398132
16.856,-0.889023,-0.051819,-0.416199
16.957,-0.959442,0.130814,-0.371597
17.057,-0.854507,0.054642,-0.358566
17.158,-0.907043,0.021469,-0.371216
17.259,-0.875565,0.007034,-0.310699
17.359,-0.913788,0.044373,-0.363007
17.46,-0.923187,0.037094,-0.369446
17.561,-0.938538,0.058212,-0.344269
17.662,-0.911255,0.024597,-0.36879
17.762,-0.919708,0.05484,-0.379425
17.863,-0.942078,0.030319,-0.382172
17.964,-0.904617,-0.007751,-0.352631
18.065,-0.93692,0.001465,-0.376358
18.165,-0.935608,0.026733,-0.373077
18.266,-0.89299,0.009567,-0.388245
18.366,-0.952072,0.011078,-0.373383
18.467,-0.932129,0.012405,-0.389526
18.568,-0.904022,0.016205,-0.37529
18.669,-0.92244,0.003265,-0.387344
18.769,-0.888031,0.009247,-0.407135
18.87,-0.92511,0.013641,-0.39505
18.97,-0.90451,0.005707,-0.38092
19.071,-0.914444,0.024612,-0.385513
19.172,-0.92337,0.046829,-0.401093
19.273,-0.907516,0.002838,-0.39209
19.373,-0.918091,0.002426,-0.384521
19.474,-0.920975,0.038177,-0.376877
19.575,-0.943497,0.057373,-0.373123
19.676,-0.91568,0.000397,-0.373962
19.776,-0.908829,-0.021393,-0.387802
19.877,-0.891922,0.03685,-0.386063
19.978,-0.869919,-0.052368,-0.370087
20.078,-0.972061,0.010635,-0.393494
20.179,-0.939804,0.036224,-0.383591
20.28,-0.943787,-0.05014,-0.329086
20.38,-0.937225,0.014664,-0.414474
20.481,-0.888504,-0.012955,-0.365555
20.582,-0.9328,-0.036682,-0.392639
20.683,-0.890823,-0.031036,-0.417587
20.783,-0.910721,-0.056458,-0.418427
20.884,-0.893448,0.045547,-0.406433
20.984,-0.859924,-0.108551,-0.394501
21.085,-0.918182,0.107315,-0.419189
21.186,-0.891388,0.083939,-0.438065
21.287,-0.904022,0.01149,-0.400009
21.387,-0.840698,-0.008972,-0.438721
21.488,-0.950104,-0.011032,-0.41037
21.589,-0.882736,-0.00853,-0.465225
21.689,-0.945801,-0.008255,-0.462494
21.79,-0.807709,-0.033096,-0.411438
21.891,-0.931244,-0.100403,-0.371475
21.992,-0.930954,-0.035706,-0.373047
22.092,-0.92334,-0.083984,-0.442245
22.193,-1.084106,-0.025955,-0.475967
22.294,-1.8116,0.061752,-0.184189
22.394,-0.874863,-0.090607,-0.378143
22.504,-0.885498,-0.098343,-0.223312
22.596,-1.009445,-0.057022,-0.393448
22.697,-0.890961,-0.174118,-0.341553
22.797,-0.824295,-0.044601,-0.305695
22.9,-0.940247,0.025055,-0.303391
22.998,-0.95636,-0.076401,-0.33992
23.099,-1.019196,-0.071304,-0.335068
23.2,-1.01001,-0.097061,-0.17276
23.3,-0.92392,0.109253,-0.326721
23.401,-1.011002,-0.106171,-0.353531
23.502,-0.980438,-0.109924,-0.304596
23.603,-0.57637,0.62207,-0.714676
23.703,-1.015854,0.091599,-0.474564
23.804,-0.95845,0.136353,-0.323624
23.905,-0.608887,0.056015,-0.260773
24.005,-1.436752,-0.289963,-0.310791
24.106,-1.291077,-0.163437,-0.421967
24.207,-0.886734,-0.053024,-0.47821
24.307,-0.820892,-0.036819,-0.402161
24.408,-0.829727,-0.071457,-0.421005
24.508,-0.838287,-0.176422,-0.291168
24.61,-0.987061,-0.362762,-0.347626
24.71,-0.832031,-0.311798,-0.366089
24.811,-1.007446,0.200912,-0.421494
24.912,-1.105652,0.161896,-0.348236
25.012,-0.608627,0.014709,-0.284317
25.113,-0.952728,0.063644,-0.379089
25.213,-0.772049,-0.180893,-0.225677
25.324,-0.873871,-0.059784,-0.306656
25.415,-0.884338,-0.340973,-0.100327
25.516,-1.033035,-0.008163,-0.525848
25.616,-0.767685,0.182098,-0.31015
25.728,-1.133636,-0.067139,-0.23201
25.818,-0.882751,-0.196121,-0.256958
26.004,-0.571426,0.038971,-0.137253
26.105,-2.172699,-0.229095,-0.260941
26.205,-1.053192,0.571457,-0.272049
26.306,-0.140228,0.191925,-0.224976
26.402,-1.542862,-0.537674,-0.040543
26.507,-1.379822,0.482941,-0.243286
26.603,-0.583099,-0.100464,-0.336838
26.704,-1.511002,0.272049,-0.677246
26.799,-1.153778,-0.183685,-0.544968
26.907,0.494125,0.078278,-0.022736
27.001,-0.425369,-0.235123,-1.088562
27.102,-1.958298,-0.470245,-0.749771
27.197,-0.526169,0.152771,-0.388458
27.297,0.226807,0.055908,0.110779
27.398,-1.50766,-0.854874,-1.198639
27.499,-2.915436,0.732712,-0.396133
27.595,-0.324905,-0.092896,-0.361359
27.695,0.217209,-0.004639,0.231766
27.796,-2.3974,-2.83786,-0.90686
27.896,-1.411499,-0.966522,-0.188889
27.992,0.381042,0.437729,-0.457321
28.093,0.220093,0.325836,-0.248016
28.193,-1.168198,-0.232178,-0.893677
28.294,-0.666733,-0.002136,-0.267395
28.39,0.934662,0.185944,0.0233
28.491,-2.434433,0.779007,-2.828491
28.591,-2.535263,-0.44809,-0.359818
28.692,-0.319901,0.138687,-0.106308
28.787,0.41861,-0.0867,-0.084579
28.888,-2.368057,-1.060623,-0.191559
28.989,-2.445831,0.169891,-0.316376
29.089,-0.078964,-0.216293,-0.422348
29.185,0.020859,0.069595,0.041916
29.286,-2.504532,-2.839905,-1.146255
29.386,-1.10788,-0.565216,-0.239853
29.487,0.912064,0.108963,-0.300812
29.583,0.007889,-0.114441,-0.599747
29.683,-1.470169,-0.425095,-1.047394
29.784,-0.637161,0.156555,-0.174347
29.885,0.864914,0.14563,0.062256
29.981,-1.8591,0.239761,-3.435379
30.082,-2.378189,-0.385208,-0.031754
30.182,-0.297134,0.160461,-0.215729
30.283,0.2547,-0.005035,-0.354813
30.378,-2.021973,-1.49971,-0.873322
30.479,-2.628815,-0.235031,-0.194092
30.579,-0.589188,-0.430771,-0.548203
30.68,0.384552,0.052292,-0.029587
30.776,-2.325974,-1.945709,-1.421234
30.876,-1.423309,-0.631317,-0.257492
30.977,0.487106,0.317947,-0.205734
31.078,0.107239,-0.222092,0.000244
31.173,-3.330414,1.985962,-1.019119
31.274,-1.178787,0.559769,-0.365067
31.375,1.036209,0.138718,-0.203598
31.475,-0.163483,0.087006,-0.209137
31.571,-1.918839,-1.271408,-0.244705
31.672,-0.747131,-0.080048,-0.226807
31.772,1.0345,0.026077,0.310608
31.873,-0.252029,0.593582,-1.924927
31.969,-2.019196,-0.359039,-0.437515
32.069,-0.612274,0.176819,-0.113922
32.17,0.675552,0.117264,-0.123627
32.27,-2.860413,0.968613,0.955399
32.367,-2.201874,-0.577301,-0.180069
32.467,-0.141266,0.226776,-0.077911
32.567,0.215485,-0.179489,0.070541
32.668,-4.150253,1.349716,-1.221405
32.764,-1.678207,0.583694,-0.408554
32.865,0.501953,0.166519,-0.173492
32.965,0.01181,-0.019241,-0.059113
33.066,-2.420135,-2.916077,-0.435364
33.161,-1.048019,-0.572388,-0.182343
33.262,0.907639,0.507553,-0.232742
33.363,0.246262,-0.20932,-0.917999
33.463,-1.347076,-1.181824,-1.727264
