time,x,y,z
14.905,-0.747864,-0.667786,-0.267807
15.006,-0.673569,-0.681213,-0.471985
15.106,-0.677124,-0.603943,-0.442505
15.202,-0.793289,-0.818649,-0.36145
15.303,-0.768326,-0.624512,-0.3414
15.404,-0.564743,-0.695419,-0.349533
15.504,-0.513107,-0.738754,-0.40007
15.6,-0.501495,-0.76416,-0.601196
15.701,-0.501923,-0.658905,-0.32666
15.801,-0.599274,-0.808243,-0.410858
15.902,-0.383987,-0.744186,-0.384735
15.998,-0.564941,-0.680161,-0.367905
16.098,-0.575226,-0.72374,-0.488235
16.199,-0.469864,-0.511749,-0.74704
16.299,-0.397415,-0.497787,-0.625656
16.395,-0.052582,-0.651627,-0.763184
16.496,-0.043747,-0.573532,-0.793091
16.596,-0.255737,-0.508179,-1.007324
16.697,-0.292816,-0.459824,-0.751114
16.793,-0.273087,-0.549698,-0.803268
16.893,-0.242249,-0.371964,-0.600021
16.994,-0.4086,-0.358658,-0.612076
17.095,-0.311096,-0.363754,-0.731873
17.19,-0.131241,-0.494675,-1.131622
17.291,-0.172638,-0.339188,-0.881638
17.391,-0.100143,-0.509125,-0.975845
17.492,-0.109451,-0.434265,-0.813736
17.588,-0.246231,-0.383041,-0.953171
17.688,-0.213013,-0.454727,-0.962921
17.789,-0.167297,-0.397125,-0.871216
17.89,-0.183823,-0.300705,-0.771683
17.985,-0.0923,-0.4841,-0.958862
18.086,-0.231201,-0.433014,-0.829086
18.187,-0.297958,-0.30249,-0.87027
18.287,-0.352051,-0.29744,-0.851257
18.383,-0.498199,-0.388855,-0.721985
18.483,-0.392822,-0.347961,-0.674683
18.584,-0.381912,-0.430145,-0.858536
18.685,-0.374954,-0.4729,-0.750381
18.78,-0.481857,-0.461243,-0.62178
18.881,-0.494171,-0.551651,-0.826965
18.982,-0.533997,-0.440857,-0.643753
19.082,-0.513535,-0.579651,-0.690002
19.178,-0.470413,-0.307556,-0.605362
19.279,-0.55722,-0.382263,-0.761383
19.379,-0.42038,-0.378815,-0.631836
19.48,-0.491699,-0.534729,-0.684204
19.576,-0.529602,-0.312927,-0.286926
19.676,-0.515808,-0.702454,-0.852615
19.777,-0.48349,-0.488434,-0.478592
19.877,-0.531097,-0.705444,-0.215103
19.973,-0.638077,-0.334839,-0.694901
20.074,-0.433945,-0.97934,-0.289627
20.175,-0.72023,-0.702621,-0.045166
20.275,-1.073807,-0.272842,-0.702042
20.371,-0.957443,0.017746,-0.678726
20.471,-0.712677,0.497574,-0.670837
20.572,-0.517822,0.574432,-0.348938
20.673,-0.213898,0.737793,-0.202286
20.769,-0.184113,0.65538,0.167862
20.869,-0.35585,0.318619,-0.661087
20.969,-0.223358,0.172073,-1.231995
21.07,-0.380295,0.220764,-0.171982
21.166,-0.709885,-0.02861,-0.531204
21.267,-0.950272,0.04689,-0.577621
21.367,-0.348297,0.632355,-1.405106
21.468,-0.496658,0.321686,-0.943787
21.563,-0.481354,0.080734,-0.894989
21.664,-0.292847,0.350281,-0.746063
21.765,-0.532196,0.238312,-0.04184
21.865,-0.436981,-0.391678,-4.22052
21.961,-1.061127,0.186203,-0.14035
22.062,-0.800995,-0.165298,-0.266922
22.163,-1.432999,0.257935,0.108658
22.263,-1.071274,0.586761,-0.150055
22.361,-0.792496,0.227203,-0.377228
22.459,-0.844925,0.288925,-0.406418
22.56,-0.825012,0.164169,-0.219574
22.661,-0.736954,0.152161,-0.479782
22.762,-1.040405,0.759674,-0.412262
22.857,-0.567154,0.452087,-0.802002
22.958,-0.548782,0.272324,0.44783
23.061,-1.413681,-0.842178,0.46904
23.16,-0.910751,0.012589,-0.027832
23.255,-1.14447,0.276779,-0.021393
23.355,-0.881821,0.06102,0.055313
23.456,-0.885437,-0.004013,-0.096512
23.552,-1.052795,-0.030258,-0.079651
23.652,-0.951294,0.189224,-0.136139
23.753,-0.941879,0.028915,-0.107635
23.853,-0.881134,0.007812,-0.141159
23.949,-0.9207,-0.096375,-0.149612
24.05,-0.986755,-0.204117,-0.1185
24.15,-0.991699,-0.174133,-0.122437
24.252,-0.971451,-0.147537,-0.131454
